entry_time,exit_time,direction,entry,exit,reason,pnl_usd,capital,risk_mult
2016-02-08 19:45:00,2016-02-08 20:15:00,Short,1195.01,1196.526922674579,Stop Loss,-160.55076319271873,10542.833449655196,1.5
2016-02-08 20:45:00,2016-02-08 21:00:00,Short,1200.59,1197.344794711583,Final TP,333.0907293084259,10875.924178963622,1.4538387411015283
2016-02-08 23:00:00,2016-02-09 01:00:00,Long,1188.7,1192.7992432076817,Final TP,375.3077228843545,11251.231901847976,1.5
2016-02-11 02:30:00,2016-02-11 02:45:00,Short,1213.31,1208.4114981465668,Final TP,238.39661651187546,11489.628518359852,1.5
2016-02-11 13:00:00,2016-02-11 13:45:00,Short,1226.71,1229.1924621041785,Stop Loss,-94.78943527646878,11394.839083083383,1.5
2016-02-11 15:15:00,2016-02-11 15:30:00,Short,1236.69,1230.612015760534,Final TP,190.33311718577067,11585.172200269153,1.5
2016-02-11 16:15:00,2016-02-11 16:45:00,Short,1239.89,1232.1405498466474,Final TP,189.5393450027962,11774.71154527195,1.5
2016-02-11 17:15:00,2016-02-11 17:30:00,Short,1241.82,1245.2489811293826,Stop Loss,-176.62067317907923,11598.090872092871,1.5
2016-02-11 18:15:00,2016-02-11 18:30:00,Short,1252.54,1255.999469332387,Stop Loss,-173.97136308139306,11424.119509011478,1.5
2016-02-11 19:15:00,2016-02-11 19:30:00,Short,1253.23,1255.6095836284517,Stop Loss,-171.36179263517212,11252.757716376305,1.5
2016-02-11 20:15:00,2016-02-11 20:30:00,Short,1247.26,1249.971372702261,Stop Loss,-168.79136574564458,11083.96635063066,1.5
2016-02-11 21:15:00,2016-02-11 21:30:00,Short,1254.33,1257.2616052582541,Stop Loss,-166.2594952594599,10917.706855371202,1.5
2016-02-11 23:15:00,2016-02-12 01:15:00,Long,1245.91,1245.0070200417283,Stop Loss,-90.0710815568124,10827.635773814389,1.5
2016-02-12 17:30:00,2016-02-12 18:00:00,Short,1240.03,1234.7143017337803,Final TP,194.4285470248381,11022.064320839227,1.5
2016-02-15 03:15:00,2016-02-15 03:30:00,Long,1222.62,1226.1518998464953,Final TP,171.28028857403137,11193.344609413258,1.310529098486555
2016-02-15 07:00:00,2016-02-15 08:00:00,Long,1218.27,1219.31,Horizon,100.58609000198962,11293.930699415247,1.5
2016-02-18 23:45:00,2016-02-19 01:45:00,Long,1230.65,1231.05,Horizon,93.23195986446672,11387.162659279713,1.4227350891067596
2016-02-19 16:15:00,2016-02-19 16:30:00,Short,1226.04,1229.2808245438835,Stop Loss,-170.80743988919568,11216.355219390518,1.5
2016-02-22 10:15:00,2016-02-22 11:15:00,Long,1206.96,1207.15,Horizon,34.58419633445534,11250.939415724974,1.5
2016-02-24 17:30:00,2016-02-24 18:30:00,Long,1247.11,1245.58,Horizon,-48.52209716416411,11202.417318560809,1.5
2016-02-25 01:15:00,2016-02-25 02:00:00,Long,1222.29,1226.196222765574,Final TP,230.12882161079833,11432.546140171607,1.5
2016-02-25 16:15:00,2016-02-25 16:30:00,Short,1230.03,1233.9070613998572,Stop Loss,-171.48819210257412,11261.057948069034,1.5
2016-02-26 23:15:00,2016-02-29 01:00:00,Long,1222.56,1221.0296528523254,Stop Loss,-92.90372807156955,11168.154219997465,1.5
2016-03-04 17:45:00,2016-03-04 18:15:00,Short,1268.82,1271.7099217259558,Stop Loss,-92.13727231497909,11076.016947682485,1.5
